"space","n_traits","iteration","proc_stat","mantel_r"
"LMD",21,2,0.999999544485077,0.999997819392261
"LMD",21,3,0.996437433389711,0.997779151160097
"LMD",21,4,0.99717339231061,0.996028178792151
"LMD",21,5,0.987885296816247,0.995591544695171
"LMD",21,6,0.998951974945799,0.998517998606714
"LMD",21,7,0.999999544485077,0.999997819392261
"LMD",21,8,0.996437433389711,0.997779151160097
"LMD",21,9,0.976514246424851,0.996831727014312
"LMD",21,10,0.997025933666625,0.998482039574131
"LMD",21,11,0.995766039633835,0.99111172165107
"LMD",21,12,0.994812113373553,0.999625488631209
"LMD",21,13,0.999061839103663,0.999982596814303
"LMD",21,14,0.994812113373553,0.999625488631209
"LMD",21,15,0.997025933666625,0.998482039574131
"LMD",21,16,0.999086081872763,0.99893537541545
"LMD",21,17,0.976514246424851,0.996831727014312
"LMD",21,18,0.999086081872763,0.99893537541545
"LMD",21,19,0.995766039633835,0.99111172165107
"LMD",21,20,0.99913825260617,0.998708129131177
"LMD",22,1,1,1
"LMD",22,2,1,1
"LMD",22,3,1,1
"LMD",22,4,1,1
"LMD",22,5,1,1
"LMD",22,6,1,1
"LMD",22,7,1,1
"LMD",22,8,1,1
"LMD",22,9,1,1
"LMD",22,10,1,1
"LMD",22,11,1,1
"LMD",22,12,1,1
"LMD",22,13,1,1
"LMD",22,14,1,1
"LMD",22,15,1,1
"LMD",22,16,1,1
"LMD",22,17,1,1
"LMD",22,18,1,1
"LMD",22,19,1,1
"LMD",22,20,1,1
"LMD",5,1,0.598619150937753,0.565847736324615
"LMD",5,2,0.845255763188894,0.772001724843766
"LMD",6,1,0.823007787989059,0.850184503466051
"LMD",6,2,0.89714694298854,0.854381895271974
"LMD",7,1,0.812762210005754,0.837444577685251
"LMD",7,2,0.856678870448816,0.842011085476258
"LMD",8,1,0.918470420087893,0.907934166419385
"LMD",8,2,0.814427595213011,0.823224934458994
"LMD",9,1,0.834409554487864,0.894910390151712
"LMD",9,2,0.844640185123942,0.883664121261488
"LMD",10,1,0.824042018562362,0.833295856931501
"LMD",10,2,0.869240933795874,0.898805275716032
"LMD",11,1,0.888424201239741,0.85509954153863
"LMD",11,2,0.926505562811867,0.911671386895593
"LMD",12,1,0.948567057881741,0.942682788303218
"LMD",12,2,0.932052542417446,0.936807731077175
"LMD",13,1,0.878016536531795,0.904835020183684
"LMD",13,2,0.854987363155651,0.905477691786169
"LMD",14,1,0.939387910830968,0.962035649399254
"LMD",14,2,0.874123415842439,0.898383847946005
"LMD",15,1,0.965314042441399,0.970681690530057
"LMD",15,2,0.943462116665295,0.944915623252064
"LMD",16,1,0.884528171211636,0.900013613505753
"LMD",16,2,0.894859918218459,0.883789433795793
"LMD",17,1,0.897804755379823,0.905847230936012
"LMD",17,2,0.942646704021506,0.955583540854877
"LMD",18,1,0.972198909479494,0.987180985068156
"LMD",18,2,0.911255282493539,0.913359566456213
"LMD",19,1,0.969391986186693,0.985420313678259
"LMD",19,2,0.928961452435043,0.927464483968976
"LMD",20,1,0.998759729007421,0.998321192393875
"LMD",20,2,0.996262916375879,0.998534404065185
"LMD",21,1,0.998951974945799,0.998517998606714
"LMD",21,2,0.999086081872763,0.99893537541545
"LMD",22,1,1,1
"LMD",22,2,1,1
"LMD",4,1,0.767298011498783,0.809136084370009
"LMD",4,2,0.736582622238945,0.784482176273156
"LMD",5,1,0.823517961358835,0.877655923852162
"LMD",4,1,0.731309652880396,0.709368136944848
"LMD",4,2,0.777235675707206,0.614525112980685
"LMD",5,1,0.806745387421762,0.857139703061294
"LMD",5,2,0.824685215422251,0.818525122549418
"LMD",6,1,0.818189926390733,0.895288420260107
"LMD",6,2,0.7656189870726,0.66682891516718
"LMD",7,1,0.797087970128964,0.842594374085685
"LMD",7,2,0.806480188245875,0.854518225759912
"LMD",8,1,0.785687018997783,0.826830748262791
"LMD",8,2,0.922811305663021,0.888832947006525
"LMD",9,1,0.859903575010776,0.897756195669448
"LMD",9,2,0.840938615015808,0.839999778500049
"LMD",10,1,0.892825087163901,0.832801673261949
"LMD",10,2,0.831821564652797,0.818406350659234
"LMD",11,1,0.847215871370121,0.875291636740208
"LMD",11,2,0.914376173627006,0.916271156427349
"LMD",12,1,0.946706854715435,0.931882599413361
"LMD",12,2,0.89454918590168,0.908263030112383
"LMD",13,1,0.870704552148604,0.905668307824593
"LMD",13,2,0.931568298336595,0.94741811753503
"LMD",14,1,0.91526289759562,0.928769912502861
"LMD",14,2,0.960132857546184,0.964303150217884
"LMD",15,1,0.961628843469444,0.960289642544232
"LMD",15,2,0.901348966159562,0.893519887346702
"LMD",16,1,0.967530068577865,0.970227701723127
"LMD",16,2,0.906270223915762,0.925334534649381
"LMD",17,1,0.955209239514091,0.953661375764252
"LMD",17,2,0.947765671377111,0.958226531005847
"LMD",18,1,0.99068811369388,0.992068451608935
"LMD",18,2,0.905380262971005,0.906714035152866
"LMD",19,1,0.97506742804165,0.993171378448827
"LMD",19,2,0.96834618128868,0.981888400619806
"LMD",20,1,0.987878523099345,0.995588097993753
"LMD",20,2,0.993734734683332,0.987520758303727
"LMD",21,1,0.99913825260617,0.998708129131177
"LMD",21,2,0.928690922803839,0.927697465256654
"LMD",22,1,1,1
"LMD",22,2,1,1
