"","species","family","order","morpho_FSp","morpho_FUn","morpho_FUSE","morpho_FDis","lifehistory_FSp","lifehistory_FUn","lifehistory_FUSE","lifehistory_FDis","diet_FSp","diet_FUn","diet_FUSE","diet_FDis","aggregated_FSp","aggregated_FUn","aggregated_FUSE","aggregated_FDis"
"46","Accipiter_melanoleucus","Accipitridae","Accipitriformes",0.498667108404741,0.0710225777823694,0.0217132943627796,0.56968968618711,0.238839187679423,0.170299124695711,0.0156646049995302,0.409138312375133,0.96442204990634,9.00430036044615e-14,0.0363588086661185,0.96442204990643,0.585014473732,0.298066370323112,0.033366585305503,0.883080844055112
"47","Accipiter_meyerianus","Accipitridae","Accipitriformes",0.501109279465274,0.0738378717578945,0.0259957132034867,0.574947151223169,0.248863845427623,0.0590602226443579,0.0140286820545465,0.307924068071981,0.967888377407714,1.03024752096777e-14,0.0432849215921892,0.967888377407724,0.589097251995404,0.161500814527423,0.0337706151021916,0.750598066522827
"48","Accipiter_minullus","Accipitridae","Accipitriformes",0.143921426496309,0.0991204442018501,0.0107431848620654,0.243041870698159,0.160355906795072,0.0827915981379396,0.0107478210061013,0.243147504933011,0.763003026338355,7.13409365142148e-14,0.03322498126189,0.763003026338426,0.345447107972156,0.336734005307075,0.0297741110196891,0.68218111327923
"49","Accipiter_nisus","Accipitridae","Accipitriformes",0.318498148692408,0.0628600939856954,0.018137483736431,0.381358242678104,0.301839368976877,0.120290273741831,0.0200510516167836,0.422129642718708,0.967888377407714,8.42960195125934e-15,0.0452115908446446,0.967888377407722,0.510642840502253,0.229953510282186,0.0348340145763673,0.740596350784439
"50","Accipiter_novaehollandiae","Accipitridae","Accipitriformes",0.396243641225725,0.150614903907189,0.0254135665974167,0.546858545132913,0.17643449309126,0.041648766790313,0.0102496121626031,0.218083259881573,0.599585368515569,2.3054788007419e-13,0.0278141991296204,0.5995853685158,0.400480622026792,0.293997879718215,0.0321133876032777,0.694478501745007
"51","Accipiter_ovampensis","Accipitridae","Accipitriformes",0.336472766253614,0.0592608525731582,0.0145197691962097,0.395733618826772,0.192383332408666,0.0494654478423277,0.00890643115685072,0.241848780250994,0.967888377407713,8.40077560800419e-15,0.0350378220135043,0.967888377407722,0.498337113254852,0.148737626236491,0.0236005231894909,0.647074739491343
"52","Accipiter_poliocephalus","Accipitridae","Accipitriformes",0.324125313032197,0.0601168020978819,0.0171124420341077,0.384242115130079,0.36810770602206,0.0739710674157193,0.0196541346555312,0.442078773437779,0.817490345139246,0.311627381767944,0.049197095898759,1.12911772690719,0.476734993477594,0.455672198464335,0.0408580526681227,0.932407191941929
"53","Accipiter_rhodogaster","Accipitridae","Accipitriformes",0.231132250755114,0.0989858622617264,0.0135638710302554,0.33011811301684,0.150021944146672,0.0447385559447566,0.00803540556883524,0.194760500091428,0.763003026338354,7.10025378935378e-14,0.0309464234262255,0.763003026338425,0.372279531750664,0.20115990936481,0.0233893578265574,0.573439441115474
"54","Accipiter_rufitorques","Accipitridae","Accipitriformes",0.328994630916131,0.0555810976381148,0.0201134491388783,0.384575728554245,0.177272357494556,0.0250868893666392,0.0106453959491713,0.202359246861195,0.813165805470007,0.049746980387733,0.0444578595956464,0.86291278585774,0.436567167275586,0.210185758609005,0.0335463352740211,0.646752925884592
"55","Accipiter_rufiventris","Accipitridae","Accipitriformes",0.334137962788018,0.0614928882002934,0.021336680546337,0.395630850988312,0.185925002408754,0.0413567307527438,0.01232967386408,0.227281733161498,0.887411065799795,3.79068365900578e-14,0.0470615948392701,0.887411065799833,0.466951451198451,0.141876298988821,0.0325942331163605,0.608827750187272
